"code","name","city","country","latitude","longitude","icao","type"
"TTE","Sultan Babullah Airport","Sango","ID","0.831012","127.381611","WAEE","private_airport"
"DGH","Deoghar Airport","Deoghar","IN","24.446842","86.704955","VEDO","smallest_airport"
"MRO","Hood Airport","Masterton","NZ","-40974634","17563454","NZMS","medium_airport"
"XNJIL","Izhevsk Airport","Izhevsk","RU","56.8280983","53.45750046","USII","medium_airport"
"EKI","Elkhart Municipal Airport","Elkhart","US","41.7193985","-86.00319672","KEKM","private_airport"
"SHO","King Mswati III International Airport","Mpaka","SZ","-26358611","31716944","FDSK","large_airport"
"UFA","Ufa International Airport","Ufa","RU","54.55749893","55.87440109","UWUU","private_airport"
"PYH","Cacique Aramare Airport","Puerto Ayacucho","VE","5.61999","-67.606102","SVPA","smallest_airport"
"KNF","RAF Marham","King's Lynn, Norfolk","GB","52.648395C","0.550692Y","EGYM","medium_airport"
"KXHIT","Gambell Airport","Gambell","US","63.767694","-171.733303","PAGM","medium_airport"
"SXQ","Soldotna Airport","Soldotna","US","60.474935","-151.038471","PASX","private_airport"
"YHE","Hope Airport / FVRD Regional Airpark","Hope","CA","49.368865C","-121.49495X","CYHE","small_airport"
"TFOSG","Elliot Lake Municipal Airport","Elliot Lake","CA","46.35139847","-82.56140137","CYEL","medium_airport"
"PEG","Perugia San Francesco d'Assisi – Umbria International Airport","Perugia (PG)","IT","43.095901B","12.5132X","LIRZ","medium_airport"
"IMB","Imbaimadai Airport","Imbaimadai","GY","5.70811","-60.294201","SYIB","smallest_airport"
"CFZYD","Sisimiut Airport","Sisimiut","GL","66.951302","-53.729301","BGSS","medium_airport"
"WTXIP","Inácio Luís do Nascimento Airport","Juara","BR","-11.2966","-57.5495","SIZX","small_airport"
"YQB","Quebec Jean Lesage International Airport","Quebec","CA","46.7911","-71.393303","CYQB","private_airport"
"OOL","Gold Coast Airport","Gold Coast","AU","-28.165962","153.506641","YBCG","smallest_airport"
"MBLCW","Alliance Municipal Airport","Alliance","US","42.052543","-102.803965","KAIA","medium_airport"
"IKK","Greater Kankakee Airport","Kankakee","US","41.07139969","-87.84629822","KIKK","smallest_airport"
"KSBEW","Diebougou Airport","Diebougou","BF","10.95","-3.25","DFOU","small_airport"
"QWJQY","Lawrence Municipal Airport","Lawrence","US","42.71720123","-71.12339783","KLWM","medium_airport"
"AGF","Agen La Garenne airport","Agen","FR","44.174171C","0.59309Y","LFBA","medium_airport"
"IDO","Santa Izabel do Morro Airport","Cristalândia","BR","-11.57229996B","-50.66619873Y","SWIY","small_airport"
"GVNZH","Banjul International Airport","Yundum","GM","13.338","-16.652201","GBYD","large_airport"
"AHE","Ahe Airport","Ahe Atoll","PF","-14.42809963","-146.25700378","NTHE","very_small_airport"
"KKG","Konawaruk Airport","Konawaruk","GY","5.2684A","-58.995Y","SYKZ","small_airport"
"PYK","Payam Karaj International Airport","Karaj","IR","35.7761","50.826698","OIIP","private_airport"
" YLMO","Henry Post Army Air Field","Fort Sill","US","34.649799","-98.402199","KFSI","medium_airport"
"LGF","Laguna Army Airfield","Yuma Proving Ground(Yuma)","US","32.86000061C","-114.3970032Z","KLGF","small_airport"
"EQ XA","Barra del Colorado Airport","Pococi","CR","10.7687","-83.585602","MRBC","medium_airport"
"BMS","Sócrates Mariani Bittencourt Airport","Brumado","BR","-14.2554B","-41.817501Y","SSXH","small_airport"
"ADF","Adıyaman Airport","Adıyaman","TR","37.7314B","38.468899Z","LTCP","medium_airport"
"GNKML","Keshod Airport","Keshod","IN","21.317101","70.270401","VAKS","medium_airport"
"HVWKU","Mankato Regional Airport","Mankato","US","44.224781","-93.919128","KMKT","small_airport"
"BIN","Bamyan Airport","Bamyan","AF","34.808916","67.816629","OABN","smallest_airport"
"BWLMN","Mbandaka Airport","Mbandaka","CD","0.0226","18.2887001","FZEA","medium_airport"
"CNX","Chiang Mai International Airport","Chiang Mai","TH","18.76679993","98.96260071","VTCC","private_airport"
"LOK","Lodwar Airport","Lodwar","KE","3.12197","35.6087","HKLO","private_airport"
"TJM","Roshchino International Airport","Tyumen","RU","57.16833","65.31611","USTR","private_airport"
"NWGEX","Merrill Field","Anchorage","US","61.212792","-149.843988","PAMR","medium_airport"
"ENL","Centralia Municipal Airport","Centralia","US","38.515099","-89.091103","KENL","smallest_airport"
"PJA","Pajala Airport","Pajala","SE","67.244569A","23.074894Y","ESUP","small_airport"
"EBA","Marina di Campo Airport","Campo nell'Elba (LI)","IT","42.760871","10.239811","LIRJ","smallest_airport"
"ARQ","El Troncal Airport","Arauquita","CO","702106","-71388901","SKAT","small_airport"
"EFQJ ","Bozoum Airport","Bozoum","CF","6.34417009","16.32189941","FEGZ","small_airport"
"VVUAG","Puerto Cabezas Airport","Puerto Cabezas","NI","14.0472002","-83.38670349","MNPC","medium_airport"
"JLQDP","Bomar Field / Shelbyville Municipal Airport","Shelbyville","US","35.560101","-86.442497","KSYI","small_airport"
"PHX","Phoenix Sky Harbor International Airport","Phoenix","US","33.435302A","-112.005905Z","KPHX","large_airport"
"LBD","Khujand Airport","Khujand","TJ","40.215401C","69.694702Z","UTDL","medium_airport"
"ATP","Aitape Airport","Aitape","PG","-3.143611A","142.346806X","AYAI","small_airport"
"ALS","San Luis Valley Regional Airport/Bergman Field","Alamosa","US","37434898","-105866997","KALS","medium_airport"
"FAQ","Frieda River Airport","Frieda River","PG","-4.610468","141.960138","AYFR","smallest_airport"
"NMN","Nomane Airport","Namane","PG","-6.32183","145.070667","AYNO","private_airport"
"NVRCE","Kuujjuaq Airport","Kuujjuaq","CA","58.09609985","-68.42690277","CYVP","medium_airport"
"NJQ Y","Owando Airport","Owando","CG","-0.524566","15.93782","FCOO","medium_airport"
"CQS","Costa Marques Airport","Costa Marques","BR","-12.4211","-64.251602","SWCQ","very_small_airport"
"IKB","Wilkes County Airport","North Wilkesboro","US","36.22280121B","-81.09829712Z","KUKF","small_airport"
"OXRYK","Ordos Ejin Horo Airport","Ordos","CN","39.493514","109.8599","ZBDS","medium_airport"
"ABD","Abadan Airport","Abadan","IR","30367887","48230075","OIAA","medium_airport"
"YSUYO","Lyon Bron Airport","Chassieu, Lyon","FR","45.727947","4.943991","LFLY","medium_airport"
"APN","Alpena County Regional Airport","Alpena","US","45.0780983","-83.56030273","KAPN","smallest_airport"
"DBCRE","Iloilo International Airport","Cabatuan","PH","10.833017","122.493358","RPVI","medium_airport"
"VXYVL","Wondoola Airport","Wondoola","AU","-18.57500076","140.89199829","YWDL","small_airport"
"BHB","Hancock County-Bar Harbor Airport","Bar Harbor","US","44.45000076","-68.3615036","KBHB","smallest_airport"
"LAN K","San Nicolas Airport","Rodriguez de Mendoza","PE","-6.39231","-77.501198","SPLN","small_airport"
"VONRG","Kakoro(Koroko) Airstrip","Kakoro","PG","-7.83466667","146.5335","AYRO","small_airport"
"HKGHE","Riga International Airport","Riga","LV","56.920752","23.970711","EVRA","large_airport"
"LYK","Lunyuk Airport","Lunyuk","ID","-8989931","117216018","WADU","small_airport"
"BKO","Modibo Keita International Airport","Bamako","ML","125335","-794994","GABS","large_airport"
"EOAKJ","Ua Pou Airport","Ua Pou","PF","-9.35167","-140.078003","NTMP","small_airport"
"BNG","Banning Municipal Airport","Banning","US","33922548","-116850672","KBNG","small_airport"
"JQSMD","Vilankulo Airport","Vilanculo","MZ","-22.01840019","35.31330109","FQVL","medium_airport"
"IQM","Qiemo Yudu Airport","Qiemo","CN","38.234516","85.465462","ZWCM","smallest_airport"
"JDF","Francisco de Assis Airport","Juiz de Fora","BR","-21.791482C","-43.386072Z","SBJF","medium_airport"
"TRQ","Tarauacá Airport","Tarauacá","BR","-8.155534","-70.782985","SBTK","smallest_airport"
"T NRT","Chambéry Aix les Bains airport","Chambéry","FR","45.6381","5.88023","LFLB","medium_airport"
"CFV","Coffeyville Municipal Airport","Coffeyville","US","37.09400177","-95.57189941","KCFV","private_airport"
"VAF","Valence-Chabeuil Airport","Chabeuil, Drôme","FR","44.9216A","4.9699Z","LFLU","medium_airport"
"CYS","Cheyenne Regional Jerry Olson Field","Cheyenne","US","41.155701","-104.811997","KCYS","private_airport"
"LEB","Lebanon Municipal Airport","Lebanon","US","43.62609863A","-72.30419922X","KLEB","medium_airport"
"HHBDM","Zaqatala International Airport","Zaqatala","AZ","41.557823","46.669464","UBBY","medium_airport"
"PVG","Shanghai Pudong International Airport","Shanghai (Pudong)","CN","31.1434","121.805","ZSPD","private_airport"
"PDEDN","Mariscal Sucre International Airport","Quito","EC","-0.125399","-78.354306","SEQM","large_airport"
"TTJ","Tottori Sand Dunes Conan Airport","Tottori","JP","35530102","134167007","RJOR","medium_airport"
"CIX","Air Force Captain Jose A Quinones Gonzales International Airport","Chiclayo","PE","-6.78748","-79.828102","SPHI","smallest_airport"
"YUB","Tuktoyaktuk / James Gruben Airport","Tuktoyaktuk","CA","69433296","-133026001","CYUB","small_airport"
"NAP","Naples International Airport","Napoli","IT","40.886002","14.2908","LIRN","private_airport"
"LXG","Luang Namtha Airport","Luang Namtha","LA","20.966999","101.400002","VLLN","smallest_airport"
"LUK","Cincinnati Municipal Airport Lunken Field","Cincinnati","US","39102357","-84418945","KLUK","medium_airport"
"DLC","Dalian Zhoushuizi International Airport","Dalian (Ganjingzi)","CN","38.965719","121.538477","ZYTL","smallest_airport"
"YWK","Wabush Airport","Wabush","CA","52.9219017A","-66.86440277Z","CYWK","medium_airport"
"OTJ","Otjiwarongo Airport","Otjiwarongo","NA","-204347","16660801","FYOW","small_airport"
"TYSVZ","Red Dog Airport","Red Dog","US","68.032097","-162.899002","PADG","small_airport"
"TLD","Tuli Lodge Airport","Tuli Lodge","BW","-22.191897","29.131229","FBTL","smallest_airport"
"NACBQ","Godofredo P. Ramos Airport","Caticlan","PH","11.9245","121.954002","RPVE","medium_airport"
"RAR","Rarotonga International Airport","Avarua","CK","-212027","-159806","NCRG","medium_airport"
"EAS","San Sebastián Airport","Hondarribia","ES","43.356499","-1.79061","LESO","smallest_airport"
"WRAGL","Hutchinson Municipal Airport","Hutchinson","US","38.06549835","-97.86060333","KHUT","medium_airport"
"NOLYR","Tsushima Airport","Tsushima","JP","34.28490067","129.33099365","RJDT","medium_airport"
"CYL","Coyoles Airport","Coyoles","HN","15.445556C","-86.675278X","MHCS","small_airport"
"BUJ","Bou Saada Airport","Ouled Sidi Brahim","DZ","35.3325","4.20639","DAAD","very_small_airport"
"PRWRN","Sibu Airport","Sibu","MY","2.2616","111.985001","WBGS","medium_airport"
"TOS","Tromsø Airport, Langnes","Tromsø","NO","69.683296","18.9189","ENTC","private_airport"
"QQLJA","Mosteiros Airport","Vila do Mosteiros","CV","15.045","-24.339199","GVMT","small_airport"
"YZE","Gore Bay Manitoulin Airport","Gore Bay","CA","45.8853","-82.567802","CYZE","smallest_airport"
"AKKSK","Daegu Airport","Daegu","KR","35.896872","128.65531","RKTN","medium_airport"
"BTP","Pittsburgh/Butler Regional Airport","Butler","US","40776901","-79949699","KBTP","small_airport"
"AWE","Alowe Airport","Wonga Wongué Presidential Reserve","GA","-0.545C","9.444Z","FOGW","small_airport"
"BIJEX","Malaimbandy Airport","Malaimbandy","MG","-20.35539029","45.54337263","FMMC","small_airport"
"NGPLC","Jingdezhen Luojia Airport","Jingdezhen","CN","29.3386","117.176003","ZSJD","medium_airport"
"WAA","Wales Airport","Wales","US","65.622593","-168.095","PAIW","very_small_airport"
"XKY","Kaya Airport","Kaya","BF","13.067B","-1.1X","DFCA","small_airport"
"TCD","Tarapacá Airport","Tarapacá","CO","-2895802","-69749762","SKRA","small_airport"
"IW YT","Wilpena Pound Airport","Hawker","AU","-31.855907","138.468079","YHAW","small_airport"
"TRFQP","Ormara Airport","Ormara Raik","PK","25.276625","64.588343","OPOR","small_airport"
"CFN","Donegal Airport","Donegal","IE","55.0442009B","-8.3409996Z","EIDL","medium_airport"
"NOJ","Noyabrsk Airport","Noyabrsk","RU","63.18330002","75.26999664","USRO","smallest_airport"
"SNJ","San Julián Air Base","Sandino","CU","22.100525C","-84.157376Y","MUSJ","medium_airport"
"ZGVDF","Dwangwa Airport","Dwangwa","MW","-12.517527","34.131877","FWDW","medium_airport"
"STP","Saint Paul Downtown Holman Field","Saint Paul","US","44.93479","-93.060036","KSTP","private_airport"
"NGK","Nogliki Airport","Nogliki","RU","51.783955C","143.141785Z","UHSN","small_airport"
"DGO","General Guadalupe Victoria International Airport","Durango","MX","24.125468A","-104.527938Y","MMDO","large_airport"
"APT","Marion County Airport - Brown Field","Jasper","US","35.060699","-85.585297","KAPT","smallest_airport"
"BTIWG","Needles Airport","Needles","US","34.7663002","-114.6230011","KEED","medium_airport"
"KVGMD","Zaria Airport","Zaria","NG","11.1302","7.68581","DNZA","medium_airport"
"FFM","Fergus Falls Municipal Airport - Einar Mickelson Field","Fergus Falls","US","4628440094","-9615670013","KFFM","small_airport"
"FMZNB","Sir Charles Gaetan Duval Airport","Port Mathurin","MU","-19.7577","63.361","FIMR","medium_airport"
"BWEQV","Pumani Airport","Pumani","PG","-9.7469","149.4766","AYPQ","small_airport"
"UHE","Kunovice Airport","Uherské Hradiště","CZ","49.0294A","17.439699Y","LKKU","medium_airport"
"GRP","Gurupi Airport","Gurupi","BR","-117396","-49132198","SWGI","small_airport"
"SDBNC","Bermuda Dunes Airport","Bermuda Dunes","US","33.748492","-116.275027","KUDD","small_airport"
"HLH","Ulanhot Yilelite Airport","Ulanhot","CN","46.195333","122.008333","ZBUL","private_airport"
"VLFYY","Barriles Airport","Tocopilla","CL","-22.1411","-70.062897","SCBE","medium_airport"
"POV","Prešov Air Base","Prešov","SK","49.02970123","21.31559944","LZPW","private_airport"
"YPY","Fort Chipewyan Airport","Fort Chipewyan","CA","5876720047","-11111699677","CYPY","medium_airport"
"MJK","Shark Bay Airport","Denham","AU","-25.897294","113.575802","YSHK","very_small_airport"
"INO","Inongo Airport","Inongo","CD","-1.94722A","18.285801Y","FZBA","small_airport"
"FQHTO","Vincent Fayks Airport","Paloemeu","SR","3.346051","-55.443707","SMPA","small_airport"
"IJFLY","Þórshöfn Airport","Þórshöfn","IS","66.218498","-15.3356","BITN","small_airport"
"QXOTA","El Fasher Airport","El Fasher","SD","13.61489964","25.32460022","HSFS","medium_airport"
"WPK","Wrotham Park Airport","Wrotham Park","AU","-16.658915","143.999263","YWMP","very_small_airport"
"WTRRX","Natitingou Airport","Natitingou","BJ","10.376965","1.360507","DBBN","small_airport"
"SEO","Séguéla Airport","Séguéla","CI","7.96","-6.644167","DISG","smallest_airport"
"AUR","Aurillac airport","Aurillac","FR","44.891399B","2.42194Z","LFLW","medium_airport"
"IBBGW","Jamba Airport","Jamba","AO","-14.698193","16.070148","FNJM","small_airport"
"ALEFG","Atar International Airport","Atar","MR","20.5067997","-13.04319954","GQPA","medium_airport"
"DBUWZ","Ivano-Frankivsk International Airport","Ivano-Frankivsk","UA","48.88420105","24.68610001","UKLI","medium_airport"
" CNLX","Naxos Island National Airport","Naxos","GR","37.0811","25.368099","LGNX","small_airport"
"WTN","RAF Waddington","Lincoln, Lincolnshire","GB","53.166199","-0.523811","EGXW","private_airport"
"WKA","Wanaka Airport","Wanaka","NZ","-44.722954A","169.248419Z","NZWF","medium_airport"
"SPS","Wichita Falls Municipal Airport / Sheppard Air Force Base","Wichita Falls","US","339888","-98491898","KSPS","medium_airport"
"VBC","Chanmyathazi Airport","Mandalay","MM","21.9405","96.0896","VYCZ","private_airport"
"BFSAH","LaGuardia Airport","New York","US","40.777199","-73.872597","KLGA","large_airport"
"YSG","Lutselk'e Airport","Lutselk'e","CA","62.417823C","-110.682793Y","CYLK","small_airport"
"JAQKW","McConnell Air Force Base","Wichita","US","37.621899","-97.268204","KIAB","medium_airport"
"SRX","Sirt International Airport / Ghardabiya Airbase","Sirt","LY","31.063499","16.594999","HLGD","smallest_airport"
"AKP","Anaktuvuk Pass Airport","Anaktuvuk Pass","US","68133598","-151742996","PAKP","medium_airport"
"HGR","Hagerstown Regional Richard A Henson Field","Hagerstown","US","39.708771B","-77.728014Z","KHGR","medium_airport"
"NEK","Nekemte Airport","Nekemte","ET","9.034333","36.613154","HANK","smallest_airport"
"IETCG","Red Deer Regional Airport","Springbrook","CA","52.182201","-113.893997","CYQF","medium_airport"
"AGC","Allegheny County Airport","Pittsburgh","US","40354401","-79930199","KAGC","medium_airport"
"JUK","Ukkusissat Heliport","Ukkusissat","GL","71.049438","-51.890016","BGUT","private_airport"
"SZL","Whiteman Air Force Base","Knob Noster","US","38.730301","-93.547897","KSZL","private_airport"
"RUT","Rutland - Southern Vermont Regional Airport","Rutland","US","43.5294","-72.9496","KRUT","private_airport"
"QLFGR","Windsor Airport","Windsor","CA","42.27560043","-82.95559692","CYQG","medium_airport"
"OEGPY","Anyang Yindu Airport","Anyang","CN","36.1339","114.344002","ZHAY","small_airport"
"MHR","Sacramento Mather Airport","Sacramento","US","38.554744A","-121.297989Z","KMHR","medium_airport"
"HRK","Kharkiv International Airport","Kharkiv","UA","49.926943C","36.290814Y","UKHH","medium_airport"
"ODGUQ","Sir Abubakar Tafawa Balewa International Airport","Bauchi","NG","10.482833","9.744","DNBC","medium_airport"
"RST","Rochester International Airport","Rochester","US","43.908298","-92.5","KRST","private_airport"
"HVRNZ","Matsaile Airport","Matsaile","LS","-29.840562","28.77668","FXMA","small_airport"
"MTB","Montelibano Airport","Montelíbano","CO","7.97174C","-75.4325X","SKML","small_airport"
"REFCT","Sekakes Airport","Sekakes","LS","-30.0389","28.3703","FXSK","small_airport"
"CIH","Changzhi Wangcun Airport","Changzhi","CN","36247501","113125999","ZBCZ","small_airport"
"MVWRN","Liupanshui Yuezhao Airport","Liupanshui (Zhongshan)","CN","26.609417","104.979","ZUPS","medium_airport"
"IAD","Washington Dulles International Airport","Dulles","US","389445","-77455803","KIAD","large_airport"
"SQX","São Miguel do Oeste Hélio Wasum Airport","São Miguel do Oeste","BR","-26.781601","-53.503502","SSOE","very_small_airport"
"MRU","Sir Seewoosagur Ramgoolam International Airport","Plaine Magnien","MU","-20.430201","57.683601","FIMP","private_airport"
"MSX","Mossendjo Airport","Mossendjo","CG","-2.95","12.7","FCMM","private_airport"
"GLF","Golfito Airport","Golfito","CR","865401","-83182198","MRGF","medium_airport"
"JVA","Ankavandra Airport","Ankavandra","MG","-18.80501","45.273467","FMMK","smallest_airport"
"PIODS","Centennial Airport","Denver","US","39.57009888","-104.848999","KAPA","medium_airport"
"BOG","El Dorado International Airport","Bogota","CO","470159","-741469","SKBO","large_airport"
"RLJYM","Linfen Yaodu Airport","Linfen (Yaodu)","CN","36.132629","111.641236","ZBLF","medium_airport"
"NNI","Namutoni Airport","Namutoni","NA","-18.8064","16.9272","FYNA","very_small_airport"
"BBX","Wings Field","Philadelphia","US","40.13750076","-75.26509857","KLOM","very_small_airport"
"TUD","Tambacounda Airport","Tambacounda","SN","13.7368","-13.6531","GOTT","very_small_airport"
"QOUOU","Port Alsworth Airport","Port Alsworth","US","60.201681","-154.325863","PALJ","small_airport"
"SJP","Prof. Eribelto Manoel Reino State Airport","São José do Rio Preto","BR","-20817113","-49406963","SBSR","medium_airport"
"NNR","Connemara Regional Airport","Inverin","IE","53.2303009","-9.46778011","EICA","smallest_airport"
"FRY","Eastern Slopes Regional Airport","Fryeburg","US","43.99110031C","-70.94789886Y","KIZG","small_airport"
"CZE","José Leonardo Chirinos Airport","Coro","VE","11.414944C","-69.680901Y","SVCR","medium_airport"
"PXRJV","Hawassa International Airport","Hawassa","ET","7.099869","38.396187","HALA","medium_airport"
"GFD","Pope Field","Greenfield","US","39790715","-85735019","KGFD","small_airport"
"MBC","M'Bigou Airport","M'Bigou","GA","-1.893056","11.9125","FOGG","smallest_airport"
"RKBTV","Benjina Airport","Maikoor Island","ID","-6.06613","134.273971","WAPK","small_airport"
"UJYZZ","Robert (Bob) Curtis Memorial Airport","Noorvik","US","66.817902","-161.018997","PFNO","small_airport"
"SJA","San Juan de Marcona Airport","San Juan de Marcona","PE","-15.357508","-75.135005","SPJN","private_airport"
"WYA","Whyalla Airport","Whyalla","AU","-33.05889893","137.51400757","YWHA","smallest_airport"
"ETE","Metema Airport","Metema","ET","1293299961","3616699982","HAMM","small_airport"
"WSXVH","Tennant Creek Airport","Tennant Creek","AU","-19.63439941","134.18299866","YTNK","medium_airport"
"DRW","Darwin International Airport / RAAF Darwin","Darwin","AU","-1241497","13088185","YPDN","large_airport"
"UCK","Lutsk Airport","Lutsk","UA","50.678404B","25.487165X","UKLC","small_airport"
"OGD","Ogden Hinckley Airport","Ogden","US","41.19589996","-112.01200104","KOGD","private_airport"
"KUDYU","Car Nicobar Air Force Base","IAF Camp","IN","9.153056","92.819273","VOCX","medium_airport"
"OHETL","Fria Airport","Fria","GN","10.3506","-13.5692","GUFA","small_airport"
"WSVQH","Dalhart Municipal Airport","Dalhart","US","36.02259827","-102.54699707","KDHT","medium_airport"
"PGU","Persian Gulf International Airport","Khiyaroo","IR","27379601","52737701","OIBP","medium_airport"
"RMG","Richard B Russell Airport","Rome","US","34.3506012A","-85.15799713Y","KRMG","medium_airport"
"PLV","Suprunovka Airport","Poltava","UA","49.5686","34.397202","UKHP","private_airport"
"JUR","Jurien Bay Airport","Jurien Bay","AU","-30.302699","115.055551","YJNB","smallest_airport"
"ODN","Long Seridan Airport","Long Seridan","MY","3.976087","115.067303","WBGI","private_airport"
"HSIGC","Rupsi Airport","Rupsi","IN","26.141867","89.907892","VERU","small_airport"
"JUNHY","Bodinumu Airport","Bodinumu","PG","-9.10777778","147.66672222","AYBD","small_airport"
"RUG","Rugao Air Base","Rugao (Nantong)","CN","32258341","120501131","ZSRG","medium_airport"
"BK BG","Tok Junction Airport","Tok","US","63.32949829","-142.9539948","PFTO","small_airport"
"GKVYW","Gods Lake Narrows Airport","Gods Lake Narrows","CA","54.55768","-94.490061","CYGO","small_airport"
"JFZON","Venice Municipal Airport","Venice","US","27.070541","-82.440815","KVNC","small_airport"
"PWE","Pevek Airport","Apapelgino","RU","69.783302C","170.597X","UHMP","medium_airport"
"NFR","Nafurah 1 Airport","Nafurah 1","LY","29.2132C","21.5924Z","HLNR","small_airport"
"EVLSQ","Touat Cheikh Sidi Mohamed Belkebir Airport","Adrar","DZ","27.837601","-0.186414","DAUA","medium_airport"
"YIV","Island Lake Airport","Island Lake","CA","53.85720062B","-94.6536026X","CYIV","medium_airport"
"LIH","Lihue Airport","Lihue","US","21.976","-159.339005","PHLI","smallest_airport"
"WCBMF","Kawama Airport","Santa Marta","CU","23.124001","-81.301598","MUKW","medium_airport"
"JHHXI","Bellingham International Airport","Bellingham","US","48.7928009","-122.53800201","KBLI","medium_airport"
"KPA","Kopiago Airport","Kopiago","PG","-53883","1424977","AYKG","small_airport"
"PDZRM","Chania International Airport","Souda","GR","35.5317","24.1497","LGSA","medium_airport"
"NZH","Manzhouli Xijiao Airport","Manzhouli","CN","49.566667","117.33","ZBMZ","private_airport"
"APX","Arapongas Airport","Arapongas","BR","-23.352636","-51.491967","SSOG","private_airport"
"QHDVM","Ghazni Airport","Ghazni","AF","33.487853","68.525243","OAGN","small_airport"
"CHH","Chachapoyas Airport","Chachapoyas","PE","-6.201911","-77.856195","SPPY","very_small_airport"
"KBHXF","Raja Bhoj International Airport","Bhopal","IN","23.28750038","77.33740234","VABP","medium_airport"
"CGJ","Kasompe Airport","Chingola","ZM","-12.5728B","27.8939X","FLKE","medium_airport"
"ZYQJY","Châteauroux Déols airport","Châteauroux","FR","46.860221","1.728326","LFLX","medium_airport"
"EA CO","Belgrade Nikola Tesla Airport","Belgrade","RS","44.818401","20.309099","LYBE","large_airport"
"BXI","Boundiali Airport","Boundiali","CI","9.540571A","-6.469831Z","DIBI","small_airport"
"CNYIM","Birmingham-Shuttlesworth International Airport","Birmingham","US","33.562901","-86.753502","KBHM","medium_airport"
"CXN","Candala Airport","Candala","SO","11495627","49909816","HCMC","small_airport"
" CHVK","Placeres Airport","Bella Union","UY","-30.319807","-57.558823","SUBU","small_airport"
"KPF","Kondobol Airport","Kondobol","PG","-8.5336B","142.5049Y","AYDL","small_airport"
"DGU","Dedougou Airport","Dedougou","BF","12.459B","-3.49Z","DFOD","small_airport"
"MSV","Sullivan County International Airport","Monticello","US","41.701596B","-74.794997Z","KMSV","small_airport"
"SFMTQ","Frederico Carlos Müller Airport","Água Boa","BR","-14.019959","-52.152003","SWHP","small_airport"
"HVG","Honningsvåg Airport, Valan","Honningsvåg","NO","71.009697A","25.983601Z","ENHV","medium_airport"
"U WXB","Mount Pleasant Municipal Airport","Mount Pleasant","US","43.6217","-84.737503","KMOP","small_airport"
"DIR","Aba Tenna Dejazmach Yilma International Airport","Dire Dawa","ET","9.62469959","41.85419846","HADR","smallest_airport"
"ATYN ","Ampara Airport","Ampara","LK","7.336745","81.623869","VCCG","medium_airport"
"BHI","Comandante Espora Airport","Bahía Blanca","AR","-38725","-621693","SAZB","medium_airport"
"CTA","Catania-Fontanarossa Airport","Catania","IT","37.466801","15.0664","LICC","smallest_airport"
"BGY","Milan Bergamo Airport / Antonio Locatelli Air Base","Orio al Serio (BG)","IT","45670725","9709223","LIME","large_airport"
"STR","Stuttgart Airport","Stuttgart","DE","48.689899","9.22196","EDDS","smallest_airport"
"IKO","Nikolski Air Station","Nikolski","US","52.941552B","-168.849478X","PAKO","small_airport"
"MDG","Mudanjiang Hailang International Airport","Mudanjiang","CN","4452410126","12956900024","ZYMD","medium_airport"
"ODY","Oudomsay Airport","Oudomsay","LA","20.6826992","101.9940033","VLOS","smallest_airport"
"VXGUB","São Gabriel da Cachoeira Airport","São Gabriel da Cachoeira","BR","-0.14835","-66.9855","SBUA","medium_airport"
"UOROG","Cacoal Airport","Cacoal","BR","-11.496","-61.4508","SSKW","small_airport"
"NGO","Chubu Centrair International Airport","Tokoname","JP","34.858398A","136.804993Y","RJGG","large_airport"
"UMI","Quincemil Air Base","Quince Mil","PE","-13231357","-7075145","SPIL","small_airport"
"NAK","Nakhon Ratchasima Airport","Chaloem Phra Kiat","TH","14.9495","102.313004","VTUQ","private_airport"
"EJEAG","Pine Cay Airport","Pine Cay","TC","21.874661","-72.090573","MBPI","small_airport"
"ODH","RAF Odiham","Hook, Hampshire","GB","51.2341A","-0.942825Y","EGVO","medium_airport"
"ERQ","Elrose Airport","Elrose Mine","AU","-209764","1410066","YESE","small_airport"
"OMN","Zomin Airport","Zaamin","UZ","40.01402C","68.41103Z","UTTZ","medium_airport"
"LRBSM","Sidi Bel Abbes Airport","Sidi Bel Abbès","DZ","35.17179871","-0.59327501","DAOS","small_airport"
"MPW","Mariupol International Airport","Mariupol","UA","470760994","3744960022","UKCM","medium_airport"
"CLU","Columbus Municipal Airport","Columbus","US","39262386","-85895576","KBAK","medium_airport"
"KCS","Kings Creek Airport","Petermann","AU","-24.421285","131.819458","YKCS","very_small_airport"
"YIW","Yiwu Airport","Jinhua (Yiwu)","CN","29342095","12003116","ZSYW","medium_airport"
"FAC","Faaite Airport","Faaite","PF","-16.68657","-145.329394","NTKF","smallest_airport"
"SLE","Salem-Willamette Valley Airport/McNary Field","Salem","US","44.9095","-123.002998","KSLE","smallest_airport"
"BCM","Bacău George Enescu International  Airport","Bacău","RO","465219","26910299","LRBC","medium_airport"
"MDI","Makurdi Airport","Makurdi","NG","770388","861394","DNMK","medium_airport"
"REPAP","Kulusuk Airport","Kulusuk","GL","65.573601","-37.1236","BGKK","medium_airport"
"JMRFS","Al-Ahsa International Airport","Hofuf","SA","25.285299","49.485199","OEAH","medium_airport"
"ZJO C","Horn Island Airport","Horn","AU","-10.585628","142.292653","YHID","medium_airport"
"HUA","Redstone Army Air Field","Redstone Arsnl Huntsville","US","34.67869949B","-86.68479919X","KHUA","medium_airport"
"HNVLI","Challis Airport","Challis","US","44.522999","-114.218002","KLLJ","small_airport"
